spot,doc_freq,sentiment_score,network_status,cluster_label,kkday_status
"姬路城",534,0.0,"網絡節點","宮島・神戶圈",""
"清水寺",528,0.689,"網絡節點","京阪圈",""
"富士山",498,0.5604,"網絡節點","富士山圈",""
"嵐山",492,0.5227,"網絡節點","京阪圈",""
"河口湖",442,0.5368,"網絡節點","富士山圈",""
"哲學之道",421,0.8026,"網絡節點","京阪圈",""
"伏見稻荷大社",406,0.8406,"網絡節點","京阪圈",""
"嚴島神社",341,0.8012,"網絡節點","宮島・神戶圈",""
"金閣寺",90,0.7328,"網絡節點","京阪圈",""
"晴空塔",78,0.5413,"網絡節點","東京周邊圈",""
"熊本城",72,0.4341,"網絡節點","九州自然圈",""
"東京鐵塔",56,0.535,"網絡節點","東京周邊圈",""
"新宿",55,0.4565,"網絡節點","東京周邊圈",""
"淺草寺",54,0.6285,"網絡節點","東京周邊圈",""
"淺草",51,0.5062,"網絡節點","東京周邊圈",""
"犬山城",45,0.7493,"網絡節點","中部日本圈",""
"兼六園",44,0.6803,"網絡節點","中部日本圈",""
"上高地",43,0.5807,"網絡節點","中部日本圈",""
"小樽",43,0.5523,"網絡節點","北海道道南圈",""
"名古屋城",41,0.6168,"網絡節點","伊勢・熊野圈",""
"門司港",41,0.5194,"網絡節點","九州自然圈",""
"天橋立",41,0.4214,"網絡節點","其他群集",""
"環球影城",40,0.4566,"網絡節點","其他群集",""
"明治神宮",38,0.5384,"網絡節點","東京周邊圈",""
"洞爺湖",38,0.5366,"網絡節點","北海道道南圈",""
"由布院",38,0.2807,"網絡節點","九州自然圈",""
"出雲大社",37,0.6781,"網絡節點","山陰圈",""
"北海道神宮",35,0.5756,"網絡節點","北海道道南圈",""
"八坂神社",35,0.5286,"網絡節點","京阪圈",""
"太宰府",35,0.4508,"網絡節點","九州自然圈",""
"合掌村",34,0.6455,"網絡節點","中部日本圈",""
"秋葉原",34,0.4816,"網絡節點","東京周邊圈",""
"熱田神宮",33,0.6326,"網絡節點","伊勢・熊野圈",""
"岡山城",33,0.5232,"網絡節點","宮島・神戶圈",""
"宮島",32,0.5464,"網絡節點","宮島・神戶圈",""
"阿蘇火山",32,0.5442,"網絡節點","九州自然圈",""
"江之島",32,0.5344,"網絡節點","東京周邊圈",""
"平安神宮",31,0.54,"網絡節點","伊勢・熊野圈",""
"大阪城",31,0.45,"網絡節點","京阪圈",""
"太宰府天滿宮",30,0.6606,"網絡節點","九州自然圈",""
"道頓堀",30,0.5395,"網絡節點","京阪圈",""
"銀山溫泉",29,0.5638,"網絡節點","東北自然圈",""
"山中湖",29,0.546,"網絡節點","富士山圈",""
"美麗海水族館",29,0.5247,"網絡節點","其他群集",""
"迪士尼",29,0.4489,"網絡節點","東京周邊圈",""
"松江城",28,0.6273,"網絡節點","山陰圈",""
"上野",28,0.5419,"網絡節點","東京周邊圈",""
"金刀比羅宮",28,0.5186,"網絡節點","瀨戶內海島圈",""
"函館山",28,0.5177,"網絡節點","北海道道南圈",""
"輕井澤",28,0.5119,"網絡節點","東京周邊圈",""
"通天閣",28,0.4577,"網絡節點","京阪圈",""
"新宿御苑",27,0.6066,"網絡節點","東京周邊圈",""
"平等院",27,0.5692,"網絡節點","其他群集",""
"十和田湖",27,0.5649,"網絡節點","東北自然圈",""
"松山城",27,0.5371,"網絡節點","瀨戶內海島圈",""
"忍野八海",27,0.4975,"網絡節點","富士山圈",""
"錦市場",26,0.6098,"網絡節點","京阪圈",""
"澀谷",26,0.5544,"網絡節點","東京周邊圈",""
"櫛田神社",26,0.5247,"網絡節點","九州自然圈",""
"山寺",26,0.5126,"網絡節點","東北自然圈",""
"高山",26,0.4754,"網絡節點","中部日本圈",""
"高千穗峽",25,0.5953,"網絡節點","九州自然圈",""
"松島",25,0.535,"網絡節點","東北自然圈",""
"渡月橋",25,0.5323,"網絡節點","京阪圈",""
"松本城",25,0.5135,"網絡節點","中部日本圈",""
"別府",25,0.4881,"網絡節點","九州自然圈",""
"美國村",24,0.5795,"網絡節點","其他群集",""
"上野公園",24,0.5556,"網絡節點","東京周邊圈",""
"池袋",24,0.521,"網絡節點","東京周邊圈",""
"金鱗湖",24,0.5047,"網絡節點","九州自然圈",""
"岡山",24,0.4914,"網絡節點","宮島・神戶圈",""
"鳥取砂丘",23,0.6391,"網絡節點","山陰圈",""
"道後溫泉",23,0.6058,"網絡節點","瀨戶內海島圈",""
"中禪寺湖",23,0.5829,"網絡節點","關東山區溫泉圈",""
"小樽運河",23,0.5621,"網絡節點","北海道道南圈",""
"河津櫻",23,0.5612,"網絡節點","富士山圈",""
"青池",23,0.5592,"網絡節點","北海道道南圈",""
"琵琶湖",23,0.5571,"網絡節點","其他群集",""
"富良野",23,0.5548,"網絡節點","北海道道南圈",""
"銀座",23,0.5533,"網絡節點","東京周邊圈",""
"唐戶市場",23,0.5368,"網絡節點","九州自然圈",""
"心齋橋",23,0.5176,"網絡節點","京阪圈",""
"大石公園",23,0.5119,"網絡節點","富士山圈",""
"染井吉野櫻",22,0.7478,"網絡節點","其他群集",""
"下鴨神社",22,0.6536,"網絡節點","伊勢・熊野圈",""
"中尊寺",22,0.6418,"網絡節點","東北自然圈",""
"東大寺",22,0.577,"網絡節點","京阪圈",""
"南禪寺",22,0.5698,"網絡節點","京阪圈",""
"室堂",22,0.4968,"網絡節點","其他群集",""
"函館",22,0.4929,"網絡節點","北海道道南圈",""
"草千里",22,0.483,"網絡節點","九州自然圈",""
"長谷寺",21,0.6698,"網絡節點","東京周邊圈",""
"宇治",21,0.6575,"網絡節點","京阪圈",""
"白鬚瀑布",21,0.608,"網絡節點","北海道道南圈",""
"武雄溫泉",21,0.5696,"網絡節點","九州自然圈",""
"東京巨蛋",21,0.5621,"孤立","孤立節點",""
"永觀堂",21,0.5567,"網絡節點","京阪圈",""
"波上宮",21,0.537,"網絡節點","其他群集",""
"黑川溫泉",21,0.5312,"網絡節點","九州自然圈",""
"築地市場",21,0.4207,"網絡節點","東京周邊圈",""
"奧入瀨溪流",21,0.3784,"網絡節點","東北自然圈",""
"雷門",20,0.6181,"網絡節點","東京周邊圈",""
"台場",20,0.5686,"網絡節點","東京周邊圈",""
"倉敷",20,0.5662,"網絡節點","宮島・神戶圈",""
"本栖湖",20,0.5557,"網絡節點","富士山圈",""
"阿寒湖",20,0.5553,"網絡節點","其他群集",""
"華嚴瀑布",20,0.5437,"網絡節點","關東山區溫泉圈",""
"旭川",20,0.5376,"網絡節點","北海道道南圈",""
"櫻島",20,0.5349,"網絡節點","九州自然圈",""
"栗林公園",20,0.5332,"網絡節點","瀨戶內海島圈",""
"瀨長島",20,0.5328,"網絡節點","其他群集",""
"伊勢神宮",20,0.5288,"網絡節點","伊勢・熊野圈",""
"博多運河城",20,0.5041,"網絡節點","九州自然圈",""
"展望台",20,0.4747,"網絡節點","富士山圈",""
"天龍寺",20,0.4722,"網絡節點","京阪圈",""
"博多",19,0.6444,"網絡節點","九州自然圈",""
"円山公園",19,0.6188,"網絡節點","京阪圈",""
"千光寺",19,0.6033,"網絡節點","宮島・神戶圈",""
"摩天輪",19,0.5751,"孤立","孤立節點",""
"奈良公園",19,0.5491,"網絡節點","京阪圈",""
"寶可夢中心",19,0.5209,"孤立","孤立節點",""
"越後湯澤",19,0.5137,"網絡節點","東京周邊圈",""
"後樂園",19,0.4856,"網絡節點","宮島・神戶圈",""
"皇居",19,0.4704,"網絡節點","東京周邊圈",""
"飛天翼龍",19,0.4449,"網絡節點","其他群集",""
"小倉城",18,0.673,"網絡節點","九州自然圈",""
"箱根",18,0.6453,"網絡節點","富士山圈",""
"觀景台",18,0.6217,"孤立","孤立節點",""
"四季彩之丘",18,0.6154,"網絡節點","北海道道南圈",""
"大通公園",18,0.5993,"網絡節點","北海道道南圈",""
"大正池",18,0.5401,"網絡節點","中部日本圈",""
"小豆島",18,0.5377,"網絡節點","瀨戶內海島圈",""
"弘前城",18,0.533,"網絡節點","東北自然圈",""
"五稜郭",18,0.5279,"網絡節點","北海道道南圈",""
"彥根城",18,0.5138,"網絡節點","其他群集",""
"羽田",18,0.4807,"網絡節點","富士山圈",""
"錦帶橋",18,0.4485,"網絡節點","宮島・神戶圈",""
"天守閣",18,0.4141,"網絡節點","其他群集",""
"宍道湖",17,0.6515,"網絡節點","山陰圈",""
"星巴克",17,0.6121,"網絡節點","京阪圈",""
"五重塔",17,0.5768,"網絡節點","東京周邊圈",""
"由布院之森",17,0.5652,"網絡節點","九州自然圈",""
"八阪神社",17,0.5651,"網絡節點","京阪圈",""
"河童橋",17,0.5491,"網絡節點","中部日本圈",""
"田澤湖",17,0.5323,"網絡節點","東北自然圈",""
"摩周湖",17,0.5289,"網絡節點","其他群集",""
"春日大社",17,0.5166,"網絡節點","京阪圈",""
"藏王樹冰",17,0.4863,"網絡節點","東北自然圈",""
"目黑川",17,0.4549,"網絡節點","東京周邊圈",""
"舞鶴公園",16,0.6728,"網絡節點","九州自然圈",""
"金澤城",16,0.6707,"網絡節點","中部日本圈",""
"高知城",16,0.6528,"網絡節點","瀨戶內海島圈",""
"花見小路",16,0.6144,"網絡節點","京阪圈",""
"宮川朝市",16,0.6001,"網絡節點","中部日本圈",""
"唐吉軻德",16,0.5772,"網絡節點","京阪圈",""
"諏訪湖",16,0.563,"網絡節點","中部日本圈",""
"近江町市場",16,0.5561,"網絡節點","中部日本圈",""
"美瑛",16,0.5556,"網絡節點","北海道道南圈",""
"迪士尼海洋",16,0.5535,"網絡節點","其他群集",""
"紅磚倉庫",16,0.5535,"網絡節點","其他群集",""
"山下公園",16,0.5309,"網絡節點","其他群集",""
"鎌倉",16,0.5296,"網絡節點","東京周邊圈",""
"鴨川",16,0.5285,"網絡節點","京阪圈",""
"溫泉",16,0.5241,"網絡節點","富士山圈",""
"天上山公園",16,0.509,"網絡節點","富士山圈",""
"哈利波特",16,0.5084,"網絡節點","其他群集",""
"角館",16,0.4798,"網絡節點","東北自然圈",""
"松島海岸",16,0.4726,"網絡節點","東北自然圈",""
"銀杏",15,0.7278,"孤立","孤立節點",""
"祐德稻荷神社",15,0.6005,"網絡節點","九州自然圈",""
"旭山動物園",15,0.5926,"網絡節點","北海道道南圈",""
