entity,posts,mentions,add_to_whitelist,note
富士山,485,2079,1,
東北,203,317,0,
河口湖,184,509,1,
鹿兒島,107,319,0,
歐洲,102,119,0,
日本海,90,116,0,
瀨戶內海,90,130,0,
天橋立,84,134,1,
秋葉原,79,106,1,
亞洲,74,83,0,
宮島,73,164,1,
琵琶湖,70,160,1,
東橫,62,82,0,
洞爺湖,60,154,1,
江之島,59,222,1,
函館山,58,111,1,
富山,56,83,0,
小豆島,55,208,1,
阿蘇火山,51,72,1,
山中湖,49,144,1,
太平洋,47,64,0,
嵐山,47,75,1,
迪士尼,47,64,0,
高千穗峽,43,118,1,
東海,42,51,0,
櫻島,42,124,1,
金鱗湖,42,88,1,
德島,40,75,0,
東京灣,40,57,0,
福島,40,54,0,
淡路島,38,111,1,
松島,37,58,1,
門司港,36,52,1,
西湖,35,82,1,
東南亞,34,37,0,
阿蘇山,33,55,1,
仙台,31,35,0,
東京市區,30,32,0,
溫泉街,30,33,0,
田澤湖,29,67,1,
北陸,28,34,0,
阿寒湖,28,84,1,
瀨長島,27,58,1,
非洲,27,31,0,
中洲,26,43,1,
伊豆半島,26,41,1,
道湖,26,38,0,
十和田湖,25,44,1,
古宇利島,25,39,1,
支笏湖,25,93,1,
猊鼻溪,25,58,1,
奧入瀨溪,24,64,1,
富良野,24,37,1,
巴爾幹半島,24,24,0,
平和島,24,61,1,
心齋橋,24,27,1,
本栖湖,24,45,1,
軍艦島,24,44,1,
迪士尼海洋,24,30,0,
關門海峽,24,41,1,
石垣島,23,53,1,
稻佐山,23,41,1,
羊蹄山,23,45,1,
青池,23,30,1,
高尾山,23,60,1,
鴨川,23,27,1,
佐渡島,22,126,1,
利尻島,22,58,1,
大室山,22,52,1,
福江島,22,167,1,
松島海岸,21,25,1,
比叡山,21,39,1,
大正池,20,48,1,
藻岩山,20,34,1,
諏訪湖,20,39,1,
奧入瀨,19,36,1,
摩周湖,19,47,1,
神戶港,19,24,1,
鄂霍次克海,19,34,0,
隅田川,19,22,1,
定山溪,18,58,1,
層雲峽,18,46,1,
知床半島,18,38,1,
貓島,18,29,1,
三島,17,28,1,
五島列島,17,32,1,
八甲田山,17,25,1,
宍道湖,17,25,1,
東亞,17,22,0,
禮文島,17,42,1,
豐洲,17,22,1,
高山,17,17,1,
中之島,16,23,1,
中島,16,23,1,
久賀島,16,115,1,
半島,16,21,0,
南極,16,29,0,
奈留島,16,101,1,
宗谷岬,16,36,1,
宮古島,16,168,1,
富山灣,16,24,1,
岩木山,16,19,1,
日月潭,16,18,0,
護城河,16,20,0,
高松市區,16,23,0,
吉野山,15,30,1,
沙洲,15,41,0,
湘南,15,21,1,
精進湖,15,30,1,
蘆之湖,15,41,1,
鬼怒川,15,30,1,
麻布台之丘,15,23,1,
中禪寺湖,14,32,1,
九十九島,14,23,1,
北九州,14,14,0,
天狗山,14,20,1,
朝鮮半島,14,18,1,
東武,14,20,1,
津輕海峽,14,17,1,
犬山,14,25,1,
近江,14,17,0,
迪士尼陸地,14,17,0,
道頓堀,14,17,1,
霧島,14,24,1,
大雪山,13,16,1,
天保山,13,17,1,
姬路,13,14,0,
摩耶山,13,15,1,
河原町,13,20,0,
河童橋,13,16,1,
清津峽,13,36,1,
硫磺山,13,22,1,
福知山,13,27,0,
金華山,13,23,1,
關東,13,15,0,
高野山,13,30,1,
六甲山,12,16,1,
北極熊,12,13,0,
大涌谷,12,19,1,
弁天島,12,15,1,
新倉山,12,17,1,
木曾川,12,17,1,
淺草,12,12,1,
福浦島,12,24,1,
美洲,12,12,0,
能登半島,12,14,1,
輕井澤,12,19,1,
銀山溫泉,12,16,1,
關東地區,12,13,0,
陽明山,12,12,0,
高千穗,12,13,1,
鷲羽山,12,51,1,
五湖,11,14,1,
北阿爾卑斯山,11,17,1,
吉野川,11,19,1,
和歌山,11,13,0,
女木島,11,61,1,
富士山河口湖,11,13,0,
富士山頂,11,14,1,
寒霞溪,11,20,1,
小田原,11,14,1,
生口島,11,30,1,
男木島,11,64,1,
白山,11,14,1,
若草山,11,21,1,
黑川溫泉,11,12,1,
中書島,10,13,1,
中東,10,10,0,
